,cas_number,formula,image_url,iupac_name,mw,smiles,stdinchi,stdinchikey,twirl_url
0,100-00-5,C6H4ClNO2,https://cactus.nci.nih.gov/chemical/structure/%5BO-%5D%5BN%2B%5D%28%3DO%29c1ccc%28Cl%29cc1/image,1-Chloro-4-nitrobenzene,157.5561,[O-][N+](=O)c1ccc(Cl)cc1,InChI=1S/C6H4ClNO2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,InChIKey=CZGCEKJOLUNIFY-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/%5BO-%5D%5BN%2B%5D%28%3DO%29c1ccc%28Cl%29cc1/twirl
1,100-01-6,C6H6N2O2,https://cactus.nci.nih.gov/chemical/structure/Nc1ccc%28cc1%29%5BN%2B%5D%28%5BO-%5D%29%3DO/image,4-Nitroaniline,138.1256,Nc1ccc(cc1)[N+]([O-])=O,"InChI=1S/C6H6N2O2/c7-5-1-3-6(4-2-5)8(9)10/h1-4H,7H2",InChIKey=TYMLOMAKGOJONV-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/Nc1ccc%28cc1%29%5BN%2B%5D%28%5BO-%5D%29%3DO/twirl
2,100-02-7,C6H5NO3,https://cactus.nci.nih.gov/chemical/structure/Oc1ccc%28cc1%29%5BN%2B%5D%28%5BO-%5D%29%3DO/image,4-Nitrophenol,139.1104,Oc1ccc(cc1)[N+]([O-])=O,"InChI=1S/C6H5NO3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H",InChIKey=BTJIUGUIPKRLHP-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/Oc1ccc%28cc1%29%5BN%2B%5D%28%5BO-%5D%29%3DO/twirl
3,100-10-7,C9H11NO,https://cactus.nci.nih.gov/chemical/structure/CN%28C%29c1ccc%28C%3DO%29cc1/image,4-Dimethylaminobenzaldehyde,149.192,CN(C)c1ccc(C=O)cc1,"InChI=1S/C9H11NO/c1-10(2)9-5-3-8(7-11)4-6-9/h3-7H,1-2H3",InChIKey=BGNGWHSBYQYVRX-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/CN%28C%29c1ccc%28C%3DO%29cc1/twirl
4,100-14-1,C7H6ClNO2,https://cactus.nci.nih.gov/chemical/structure/%5BO-%5D%5BN%2B%5D%28%3DO%29c1ccc%28CCl%29cc1/image,1-(Chloromethyl)-4-nitrobenzene,171.5829,[O-][N+](=O)c1ccc(CCl)cc1,"InChI=1S/C7H6ClNO2/c8-5-6-1-3-7(4-2-6)9(10)11/h1-4H,5H2",InChIKey=KGCNHWXDPDPSBV-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/%5BO-%5D%5BN%2B%5D%28%3DO%29c1ccc%28CCl%29cc1/twirl
5,100-21-0,C8H6O4,https://cactus.nci.nih.gov/chemical/structure/OC%28%3DO%29c1ccc%28cc1%29C%28O%29%3DO/image,Terephthalic acid,166.133,OC(=O)c1ccc(cc1)C(O)=O,"InChI=1S/C8H6O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,(H,9,10)(H,11,12)",InChIKey=KKEYFWRCBNTPAC-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/OC%28%3DO%29c1ccc%28cc1%29C%28O%29%3DO/twirl
6,100-25-4,C6H4N2O4,https://cactus.nci.nih.gov/chemical/structure/%5BO-%5D%5BN%2B%5D%28%3DO%29c1ccc%28cc1%29%5BN%2B%5D%28%5BO-%5D%29%3DO/image,"1,4-Dinitrobenzene",168.1086,[O-][N+](=O)c1ccc(cc1)[N+]([O-])=O,InChI=1S/C6H4N2O4/c9-7(10)5-1-2-6(4-3-5)8(11)12/h1-4H,InChIKey=FYFDQJRXFWGIBS-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/%5BO-%5D%5BN%2B%5D%28%3DO%29c1ccc%28cc1%29%5BN%2B%5D%28%5BO-%5D%29%3DO/twirl
7,100-37-8,C6H15NO,https://cactus.nci.nih.gov/chemical/structure/CCN%28CC%29CCO/image,2-Diethylaminoethanol,117.1906,CCN(CC)CCO,"InChI=1S/C6H15NO/c1-3-7(4-2)5-6-8/h8H,3-6H2,1-2H3",InChIKey=BFSVOASYOCHEOV-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/CCN%28CC%29CCO/twirl
8,100-40-3,C8H12,https://cactus.nci.nih.gov/chemical/structure/C%3DCC1CCC%3DCC1/image,4-Ethenylcyclohexene,108.1828,C=CC1CCC=CC1,"InChI=1S/C8H12/c1-2-8-6-4-3-5-7-8/h2-4,8H,1,5-7H2",InChIKey=BBDKZWKEPDTENS-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/C%3DCC1CCC%3DCC1/twirl
9,100-41-4,C8H10,https://cactus.nci.nih.gov/chemical/structure/CCc1ccccc1/image,Ethylbenzene,106.167,CCc1ccccc1,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",InChIKey=YNQLUTRBYVCPMQ-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/CCc1ccccc1/twirl
10,100-42-5,C8H8,https://cactus.nci.nih.gov/chemical/structure/C%3DCc1ccccc1/image,Ethenylbenzene,104.1512,C=Cc1ccccc1,"InChI=1S/C8H8/c1-2-8-6-4-3-5-7-8/h2-7H,1H2",InChIKey=PPBRXRYQALVLMV-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/C%3DCc1ccccc1/twirl
11,100-43-6,C7H7N,https://cactus.nci.nih.gov/chemical/structure/C%3DCc1ccncc1/image,4-Ethenylpyridine,105.139,C=Cc1ccncc1,"InChI=1S/C7H7N/c1-2-7-3-5-8-6-4-7/h2-6H,1H2",InChIKey=KFDVPJUYSDEJTH-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/C%3DCc1ccncc1/twirl
12,100-44-7,C7H7Cl,https://cactus.nci.nih.gov/chemical/structure/ClCc1ccccc1/image,Chloromethylbenzene,126.5853,ClCc1ccccc1,"InChI=1S/C7H7Cl/c8-6-7-4-2-1-3-5-7/h1-5H,6H2",InChIKey=KCXMKQUNVWSEMD-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/ClCc1ccccc1/twirl
13,100-46-9,C7H9N,https://cactus.nci.nih.gov/chemical/structure/NCc1ccccc1/image,phenylmethanamine,107.1548,NCc1ccccc1,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",InChIKey=WGQKYBSKWIADBV-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/NCc1ccccc1/twirl
14,100-47-0,C7H5N,https://cactus.nci.nih.gov/chemical/structure/N%23Cc1ccccc1/image,Benzonitrile,103.1232,N#Cc1ccccc1,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,InChIKey=JFDZBHWFFUWGJE-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/N%23Cc1ccccc1/twirl
15,100-51-6,C7H8O,https://cactus.nci.nih.gov/chemical/structure/OCc1ccccc1/image,phenylmethanol,108.1396,OCc1ccccc1,"InChI=1S/C7H8O/c8-6-7-4-2-1-3-5-7/h1-5,8H,6H2",InChIKey=WVDDGKGOMKODPV-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/OCc1ccccc1/twirl
16,100-52-7,C7H6O,https://cactus.nci.nih.gov/chemical/structure/O%3DCc1ccccc1/image,BENZALDEHYDE,106.1238,O=Cc1ccccc1,InChI=1S/C7H6O/c8-6-7-4-2-1-3-5-7/h1-6H,InChIKey=HUMNYLRZRPPJDN-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/O%3DCc1ccccc1/twirl
17,100-54-9,C6H4N2,https://cactus.nci.nih.gov/chemical/structure/N%23Cc1cccnc1/image,pyridine-3-carbonitrile,104.111,N#Cc1cccnc1,"InChI=1S/C6H4N2/c7-4-6-2-1-3-8-5-6/h1-3,5H",InChIKey=GZPHSAQLYPIAIN-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/N%23Cc1cccnc1/twirl
18,100-55-0,C6H7NO,https://cactus.nci.nih.gov/chemical/structure/OCc1cccnc1/image,PYRIDIN-3-YLMETHANOL,109.1274,OCc1cccnc1,"InChI=1S/C6H7NO/c8-5-6-2-1-3-7-4-6/h1-4,8H,5H2",InChIKey=MVQVNTPHUGQQHK-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/OCc1cccnc1/twirl
19,100-61-8,C7H9N,https://cactus.nci.nih.gov/chemical/structure/CNc1ccccc1/image,N-Methylaniline,107.1548,CNc1ccccc1,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",InChIKey=AFBPFSWMIHJQDM-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/CNc1ccccc1/twirl
20,100-63-0,C6H9ClN2,https://cactus.nci.nih.gov/chemical/structure/Cl.NNc1ccccc1/image,PHENYLHYDRAZINE HYDROCHLORIDE,144.6035,[H+].[Cl-].NNc1ccccc1,"InChI=1S/C6H8N2.ClH/c7-8-6-4-2-1-3-5-6;/h1-5,8H,7H2;1H",InChIKey=JOVOSQBPPZZESK-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/Cl.NNc1ccccc1/twirl
21,100-64-1,C6H11NO,https://cactus.nci.nih.gov/chemical/structure/ON%3DC1CCCCC1/image,N-cyclohexylidenehydroxylamine,113.159,ON=C1CCCCC1,"InChI=1S/C6H11NO/c8-7-6-4-2-1-3-5-6/h8H,1-5H2",InChIKey=VEZUQRBDRNJBJY-UHFFFAOYSA-N,https://cactus.nci.nih.gov/chemical/structure/ON%3DC1CCCCC1/twirl
