CAS,化学物質名,期間種別,毒性種別,影響内容,毒性値,暴露時間（日）,信頼性ランク,生物種,栄養段階,生物分類,参照元,参照元ID,コメント,AISTコメント,生息区分,試験媒体,試験データ区分,毒性値タイプ,毒性値イオン,環境省初期評価信頼性標識,環境省農薬基準信頼性標識,クリミッシュコード,米国農薬基準信頼性標識
7664-41-7,Ammonia,急性,LC50,生存,0.48,1,,ハクレン属の一種(Hypophthalmichthys nobilis),魚類,Fish,ECOTOX,159134,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.48,3,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159147,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.49,0.347916667,,ニジマス(Oncorhynchus mykiss),魚類,Fish,ECOTOX,24716,,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.5,2.5,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159146,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.51,1.083333333,,マダイ(Pagrus major),魚類,Fish,ECOTOX,53942,"12.36 MM BODY, 15.54 MM TOTAL/",,水生,海水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.54,1,,ハクレン(Hypophthalmichthys molitrix),魚類,Fish,ECOTOX,159131,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.56,2.041666667,,マダイ(Pagrus major),魚類,Fish,ECOTOX,53943,"12.36 MM BODY, 15.54 MM TOTAL/",,水生,海水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.56,4,,ドジョウ亜科の一種(Lepidocephalichthys guntea),魚類,Fish,ECOTOX,746358,"1.50 TO 1.80 G, WTINT, 5.25 TO 5.78/",,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.57,3,,ドジョウ亜科の一種(Lepidocephalichthys guntea),魚類,Fish,ECOTOX,746357,"1.50 TO 1.80 G, WTINT, 5.25 TO 5.78/",,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.57,0.875,,マダイ(Pagrus major),魚類,Fish,ECOTOX,47635,"7.80MM BODY LENGTH, 7.47MG",,水生,海水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.58,4,,シマスズキ(Morone saxatilis),魚類,Fish,ECOTOX,202145,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.59,2,,ドジョウ亜科の一種(Lepidocephalichthys guntea),魚類,Fish,ECOTOX,747176,"1.50 TO 1.80 G, WTINT, 5.25 TO 5.78/",,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.61,1,,ドジョウ亜科の一種(Lepidocephalichthys guntea),魚類,Fish,ECOTOX,746356,"1.50 TO 1.80 G, WTINT, 5.25 TO 5.78/",,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.62,0.347916667,,ニジマス(Oncorhynchus mykiss),魚類,Fish,ECOTOX,24714,,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.62,2,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159145,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.65,1.5,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159144,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.66,4,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159141,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.68,1,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159143,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.703,4,,シマスズキ(Morone saxatilis),魚類,Fish,ECOTOX,202150,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.74,4,,ペルカ科の一種(Etheostoma spectabile),魚類,Fish,ECOTOX,190498,,,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.75,4,,トウゴロウイワシ科の一種(Menidia beryllina),魚類,Fish,ECOTOX,202158,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.78,3,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190341,SICK,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.8,2,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159140,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.82,0.625,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159142,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.84,0.347916667,,ニジマス(Oncorhynchus mykiss),魚類,Fish,ECOTOX,24713,,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.86,1.5,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159139,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.88,4,,トウゴロウイワシ科の一種(Menidia beryllina),魚類,Fish,ECOTOX,202154,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.88,4,,ペルカ科の一種(Etheostoma spectabile),魚類,Fish,ECOTOX,190499,,,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.97,1,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159138,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,0.98,4,,トウゴロウイワシ科の一種(Menidia beryllina),魚類,Fish,ECOTOX,202133,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.02,2,,アメリカナマズ(Ictalurus punctatus),魚類,Fish,ECOTOX,18066,,,水生,その他(NR),,T,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.09,4,,シマスズキ(Morone saxatilis),魚類,Fish,ECOTOX,202153,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.16,4,,トウゴロウイワシ科の一種(Menidia beryllina),魚類,Fish,ECOTOX,202162,,,水生,海水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.17,4,,ブルーギル(Lepomis macrochirus),魚類,Fish,ECOTOX,190502,,,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.18,2,,アメリカナマズ(Ictalurus punctatus),魚類,Fish,ECOTOX,18064,,,水生,その他(NR),,T,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.19,4,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190339,8.70(6.8-10.6) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.2,1,,(Nothobranchius guentheri),魚類,Fish,ECOTOX,211245,,,水生,淡水,,U,NH3,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.2,3,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190338,8.70(6.8-10.6) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.21,2,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190329,8.0(7.1-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.21,3,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190330,8.0(7.1-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.21,4,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190331,8.0(7.1-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.23,0.625,,コイ(Cyprinus carpio),魚類,Fish,ECOTOX,159137,,,水生,淡水,,U,,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.25,2,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190337,8.70(6.8-10.6) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.26,2,,アメリカナマズ(Ictalurus punctatus),魚類,Fish,ECOTOX,18065,,,水生,その他(NR),,T,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.31,3,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190334,8.25(6.3-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.31,4,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190335,8.25(6.3-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.34,2,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190333,8.25(6.3-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.35,1,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190332,8.25(6.3-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.48,1,,グッピー(Poecilia reticulata),魚類,Fish,ECOTOX,190328,8.0(7.1-11.0) MM,,水生,淡水,,U,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.53,2,,アメリカナマズ(Ictalurus punctatus),魚類,Fish,ECOTOX,18063,,,水生,その他(NR),,T,N,,,,
7664-41-7,Ammonia,急性,LC50,生存,1.55,4,,ガラクシアス属の一種(Galaxias maculatus),魚類,Fish,ECOTOX,119044,"0.4-1.3 G, 42-62 MM",,水生,淡水,,U,N,,,,
